76Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
76Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
76P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
77Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
77Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
77P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
78Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
78Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
78P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
79Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
79Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
79P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
80Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
80Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
80P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
81Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
81Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
81P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
82Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
82Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
82P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
83Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
83Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
83P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
84Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
84Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
84P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
85Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
85Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
85P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
86Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
86Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
86P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
87Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
87Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
87P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
88Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
88Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
88P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
89Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
89Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
89P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
90Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
90Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
90P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
91Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
91Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
91P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
92Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
92Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
92P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
93Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
93Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
93P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
94Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
94Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
94P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
95Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
95Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
95P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
96Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
96Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
96P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
97Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
97Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
97P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
98Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
98Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
98P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
99Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
99Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
99P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
100Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
100Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
100P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
101Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
101Z:acc 0.9590, nmi 0.7412, ari 0.8410, f1 0.9545, pur 0.9590
101P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
102Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
102Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
102P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
103Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
103Z:acc 0.9605, nmi 0.7478, ari 0.8465, f1 0.9562, pur 0.9605
103P:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
104Q:acc 0.9605, nmi 0.7468, ari 0.8465, f1 0.9563, pur 0.9605
